,0,1
1799,pens,186
1800,birth,186
1801,degrees,186
1802,1000,186
1803,salt,186
1804,dale,186
1805,sea,185
1806,replies,185
1807,reasoning,185
1808,occur,185
1809,1.41,185
1810,lewis,185
1811,dealing,185
1812,solutions,185
1813,depending,185
1814,edition,185
1815,caught,185
1816,rid,185
1817,england,185
1818,55,185
1819,randy,185
1820,bytes,185
1821,x11,185
1822,equivalent,184
1823,credit,184
1824,aid,184
1825,circumstances,184
1826,stories,184
1827,impact,184
1828,carrying,184
1829,tested,184
1830,protected,184
1831,jr,184
1832,challenge,184
1833,bother,184
1834,produced,184
1835,commands,184
1836,ports,184
1837,intel,184
1838,passes,183
1839,victims,183
1840,hitting,183
1841,kings,183
1842,neutral,183
1843,adams,183
1844,lock,183
1845,scientists,183
1846,probe,183
1847,lawrence,183
1848,purdue,183
1849,menu,183
1850,toolkit,183
1851,stars,183
1852,pitching,183
1853,crimes,182
1854,journal,182
1855,hundreds,182
1856,burning,182
1857,republic,182
1858,variety,182
1859,liberty,182
1860,focus,182
1861,installation,182
1862,xt,182
1863,extermination,181
1864,palestine,181
1865,85,181
1866,greece,181
1867,signed,181
1868,announced,181
1869,schools,181
1870,65,181
1871,modes,181
1872,imaging,181
1873,serbs,180
1874,attempts,180
1875,organized,180
1876,visible,180
1877,director,180
1878,increased,180
1879,il,180
1880,irrelevant,180
1881,0700,180
1882,54,180
1883,santa,180
1884,livesey,180
1885,mormon,180
1886,gaza,179
1887,bush,179
1888,spring,179
1889,allowing,179
1890,channel,179
1891,bay,179
1892,removed,179
1893,shift,179
1894,sox,179
1895,stanley,179
1896,resistance,178
1897,wisdom,178
1898,failure,178
1899,deep,178
1900,apartment,178
1901,offered,178
1902,matters,178
1903,animals,178
1904,facility,178
1905,pl9,178
1906,border,177
1907,palestinian,177
1908,agreement,177
1909,theories,177
1910,sleep,177
1911,venus,177
1912,hour,177
1913,russell,177
1914,ticket,177
1915,repeat,176
1916,ignorance,176
1917,heads,176
1918,cool,176
1919,jew,176
1920,colour,176
1921,violent,176
1922,taught,176
1923,fundamental,176
1924,maintain,176
1925,transmission,176
1926,predictions,176
1927,newsletter,176
1928,centris,176
1929,sony,176
1930,"talk.abortion,alt.atheism,talk.religion.misc",176
1931,sit,175
1932,quotes,175
1933,talks,175
1934,returned,175
1935,defensive,175
1936,comparison,175
1937,literature,175
1938,item,175
1939,bug,175
1940,pray,175
1941,morals,175
1942,winnipeg,175
1943,pasadena,175
1944,processor,175
1945,mathew,175
1946,israelis,174
1947,millions,174
1948,shape,174
1949,remains,174
1950,maryland,174
1951,careful,174
1952,boxes,174
1953,wins,174
1954,displays,174
1955,frequency,174
1956,int,174
1957,puck,174
1958,sternlight,174
1959,candida,174
1960,suffering,173
1961,enter,173
1962,relative,173
1963,automatically,173
1964,microsystems,173
1965,biggest,173
1966,carl,173
1967,pdt,172
1968,massacre,172
1969,paragraph,172
1970,sad,172
1971,style,172
1972,senate,172
1973,investigation,172
1974,loaded,172
1975,wave,172
1976,p.s,172
1977,386,172
1978,tiff,172
1979,xview,172
1980,nntp,171
1981,push,171
1982,iran,171
1983,july,171
1984,roy,171
1985,56,171
1986,experiment,171
1987,kenneth,171
1988,production,171
1989,libraries,171
1990,89,171
1991,finland,171
1992,bikes,171
1993,livesey@solntze.wpd.sgi.com,171
1994,shit,170
1995,spot,170
1996,justify,170
1997,explained,170
1998,52,170
1999,learning,170
2000,gerald,170
2001,helpful,170
2002,wood,170
2003,feds,170
2004,honest,169
2005,forms,169
2006,presence,169
2007,figures,169
2008,irvine,169
2009,driven,169
2010,paint,169
2011,extended,169
2012,indiana,169
2013,suggestion,169
2014,split,169
2015,accuracy,169
2016,login,169
2017,jet,169
2018,cubs,169
2019,burns,169
2020,detector,169
2021,lying,168
2022,planning,168
2023,agreed,168
2024,closer,168
2025,unknown,168
2026,fields,168
2027,efforts,168
2028,helmet,168
2029,spending,168
2030,subjective,168
2031,verse,168
2032,destroyed,167
2033,lights,167
2034,appeared,167
2035,leaving,167
2036,rose,167
2037,senior,167
2038,experts,167
2039,techniques,167
2040,spread,167
2041,instruments,167
2042,assertion,167
2043,plenty,167
2044,dennis,167
2045,desktop,167
2046,adapter,167
2047,sharks,167
2048,shut,166
2049,target,166
2050,politics,166
2051,positions,166
2052,scale,166
2053,effectively,166
2054,66,166
2055,sam,166
2056,universal,166
2057,stone,166
2058,maximum,166
2059,handling,166
2060,3.5,166
2061,wiring,166
2062,jerry,166
2063,gamma,166
2064,suicide,165
2065,prepared,165
2066,clients,165
2067,france,165
2068,phill,165
2069,professional,165
2070,attorney,165
2071,occurs,165
2072,implementation,165
2073,motion,165
2074,boot,165
2075,on-line,165
2076,propulsion,165
2077,routines,165
2078,map,164
2079,arm,164
2080,picked,164
2081,served,164
2082,shared,164
2083,supposedly,164
2084,generate,164
2085,pope,164
2086,carefully,164
2087,shop,164
2088,karl,164
2089,testament,164
2090,settings,164
2091,tm,164
2092,lc,164
2093,revelation,164
2094,scored,164
2095,believes,163
2096,assumed,163
2097,caps,163
2098,ottoman,163
2099,rape,163
2100,content,163
2101,favor,163
2102,baby,163
2103,continued,163
2104,silly,163
2105,hewlett-packard,163
2106,viewer,163
2107,fee,163
2108,jets,163
2109,bruins,163
2110,widgets,163
2111,people's,162
2112,signature,162
2113,accounts,162
2114,incident,162
2115,japan,162
2116,ann,162
2117,panel,162
2118,turbo,162
2119,voltage,162
2120,gravity,162
2121,portable,162
2122,polygon,162
2123,rsa,162
2124,successful,161
2125,french,161
2126,purchased,161
2127,offensive,161
2128,1982,161
2129,policies,161
2130,citizen,161
2131,massachusetts,161
2132,stolen,161
2133,bigger,161
2134,calgary,161
2135,chuck,161
2136,motor,161
2137,utilities,161
2138,laser,161
2139,byte,161
2140,pitcher,161
2141,mouth,160
2142,lay,160
2143,stands,160
2144,pm,160
2145,convinced,160
2146,staff,160
2147,match,160
2148,cycle,160
2149,funding,160
2150,survey,160
2151,servers,160
2152,phones,160
2153,eisa,160
2154,davidian,159
2155,unable,159
2156,convince,159
2157,reached,159
2158,museum,159
2159,controlled,159
2160,churches,159
2161,planned,159
2162,ames,159
2163,friday,159
2164,tie,159
2165,instructions,159
2166,labs,159
2167,immoral,159
2168,reno,159
2169,det,159
2170,bd's,159
2171,procedure,158
2172,terrorism,158
2173,mechanism,158
2174,talked,158
2175,capability,158
2176,stuck,158
2177,observed,158
2178,vision,158
2179,requests,158
2180,ot,158
2181,plug,158
2182,extension,158
2183,kit,158
2184,geb@cs.pitt.edu,158
2185,referring,157
2186,propaganda,157
2187,philosophy,157
2188,represents,157
2189,dean,157
2190,agent,157
2191,components,157
2192,infection,157
2193,clark,157
2194,eastern,156
2195,referred,156
2196,1920,156
2197,granted,156
2198,managed,156
2199,glad,156
2200,hill,156
2201,reduced,156
2202,empire,156
2203,battle,156
2204,clinical,156
2205,imply,156
2206,tough,156
2207,seek,156
2208,resurrection,156
2209,86,156
2210,quebec,156
2211,ultra,156
2212,networks,156
2213,murray,156
2214,ethernet,156
2215,lebanon,155
2216,occupied,155
2217,jump,155
2218,athens,155
2219,core,155
2220,pts,155
2221,perspective,155
2222,albert,155
2223,believing,155
2224,aspects,155
2225,gear,155
2226,tapes,155
2227,58,155
2228,wheel,155
2229,pitch,155
2230,slower,155
2231,henry@zoo.toronto.edu,155
2232,wars,154
2233,elements,154
2234,fellow,154
2235,helped,154
2236,ethnic,154
2237,desire,154
2238,anthony,154
2239,greeks,154
2240,chief,154
2241,raid,154
2242,chapter,154
2243,atmosphere,154
2244,luke,154
2245,memorial,153
2246,checking,153
2247,notion,153
2248,dictionary,153
2249,mathematics,153
2250,collection,153
2251,chemical,153
2252,jersey,153
2253,mirror,153
2254,jones,153
2255,nc,153
2256,connector,153
2257,stage,152
2258,fourth,152
2259,february,152
2260,exercise,152
2261,applies,152
2262,liberal,152
2263,union,152
2264,orthodox,152
2265,kingdom,152
2266,officer,152
2267,confused,152
2268,teach,152
2269,iowa,152
2270,rider,152
2271,vesa,152
2272,answered,151
2273,72,151
2274,deny,151
2275,wild,151
2276,register,151
2277,speeds,151
2278,storage,151
2279,echo,151
2280,symptoms,151
2281,grace,151
2282,harry,150
2283,lebanese,150
2284,stealth,150
2285,understood,150
2286,treated,150
2287,represent,150
2288,principle,150
2289,scientist,150
2290,adding,150
2291,chain,150
2292,manuals,150
2293,saves,150
2294,ring,150
2295,accident,150
2296,barry,150
2297,fails,150
2298,corner,150
2299,pit,150
2300,romans,150
2301,cd-rom,150
2302,engines,150
2303,testing,150
2304,scoring,150
2305,verses,150
2306,canon,150
2307,elohim,150
2308,december,149
2309,azeri,149
2310,educational,149
2311,visit,149
2312,truck,149
2313,determined,149
2314,surprise,149
2315,grand,149
2316,cursor,149
2317,gonna,149
2318,dealers,149
2319,bos,149
2320,amateur,149
2321,linux,149
2322,planetary,149
2323,1983,148
2324,neighbors,148
2325,hitler,148
2326,exchange,148
2327,characters,148
2328,touch,148
2329,em,148
2330,schedule,148
2331,improve,148
2332,bitnet,148
2333,perform,148
2334,tires,148
2335,stereo,148
2336,specs,148
2337,hits,148
2338,animation,148
2339,1919,147
2340,relations,147
2341,supreme,147
2342,practical,147
2343,fund,147
2344,foot,147
2345,equally,147
2346,metal,147
2347,reflect,147
2348,chosen,147
2349,harm,147
2350,utah,147
2351,ass,147
2352,patient,147
2353,platforms,147
2354,algorithms,147
2355,divine,146
2356,proceeded,146
2357,terrorist,146
2358,catch,146
2359,chances,146
2360,compromise,146
2361,crazy,146
2362,useless,146
2363,votes,146
2364,simon,146
2365,scores,146
2366,lucky,146
2367,supporting,146
2368,treat,146
2369,replacement,146
2370,usage,146
2371,spiritual,146
2372,candidates,146
2373,affect,146
2374,records,146
2375,superior,146
2376,patch,146
2377,vlb,146
2378,azerbaijani,145
2379,intelligent,145
2380,traditional,145
2381,northern,145
2382,intent,145
2383,amazing,145
2384,so-called,145
2385,wear,145
2386,dogs,145
2387,71,145
2388,contract,145
2389,global,145
2390,devils,145
2391,fat,145
2392,1.2,145
2393,svga,145
2394,sunos,145
2395,coach,145
2396,thrown,144
2397,solve,144
2398,drink,144
2399,destruction,144
2400,forgot,144
2401,movie,144
2402,fly,144
2403,danger,144
2404,feed,144
2405,existed,144
2406,copyright,144
2407,interactive,144
2408,cellular,144
2409,amp,144
2410,apps,144
2411,messiah,144
2412,clh,144
2413,performed,143
2414,wise,143
2415,principles,143
2416,stream,143
2417,buffer,143
2418,august,143
2419,introduction,143
2420,angels,143
2421,rise,143
2422,archives,143
2423,camera,143
2424,selected,143
2425,francis,143
2426,ranch,143
2427,jays,143
2428,ripem,143
2429,yeast,143
2430,israel's,142
2431,contents,142
2432,crowd,142
2433,daughter,142
2434,strip,142
2435,cnn,142
2436,tonight,142
2437,roman,142
2438,88,142
2439,chose,142
2440,flat,142
2441,flying,142
2442,offense,142
2443,classic,142
2444,packet,142
2445,giants,142
2446,seat,142
2447,ac,142
2448,missions,142
2449,accelerator,142
2450,chi,142
2451,1.0,142
2452,belong,141
2453,sentence,141
2454,projects,141
2455,grounds,141
2456,impression,141
2457,membership,141
2458,conversation,141
2459,surrender,141
2460,numerous,141
2461,gold,141
2462,consequences,141
2463,tor,141
2464,permission,141
2465,800,141
2466,insert,141
2467,platform,141
2468,null,141
2469,bugs,141
2470,swap,141
2471,protocol,141
2472,scsi-2,141
2473,root,140
2474,wearing,140
2475,teaching,140
2476,stock,140
2477,hallam-baker,140
2478,campaign,140
2479,saturday,140
2480,57,140
2481,manufacturers,140
2482,phrase,140
2483,stored,140
2484,recommended,140
2485,i/o,140
2486,mov,140
2487,huh,139
2488,bosnian,139
2489,critical,139
2490,burden,139
2491,eating,139
2492,materials,139
2493,economy,139
2494,conclusions,139
2495,wind,139
2496,plastic,139
2497,classified,139
2498,developing,139
2499,saturn,139
2500,loop,139
2501,slot,139
2502,modified,138
2503,harvard,138
2504,constant,138
2505,passage,138
2506,associate,138
2507,burn,138
2508,progress,138
2509,mask,138
2510,reform,138
2511,rational,138
2512,consideration,138
2513,se,138
2514,batteries,138
2515,2.2,138
2516,janet,138
2517,vram,138
2518,app,138
2519,xlib,138
2520,bomb,137
2521,generated,137
2522,extent,137
2523,600,137
2524,prime,137
2525,1987,137
2526,detailed,137
2527,pool,137
2528,graham,137
2529,32-bit,137
2530,hitter,137
2531,islanders,137
2532,cultural,136
2533,destroy,136
2534,terrible,136
2535,broke,136
2536,refused,136
2537,printed,136
2538,formed,136
2539,creating,136
2540,plane,136
2541,skin,136
2542,authors,136
2543,assembly,136
2544,wa,136
2545,zealand,136
2546,sins,136
2547,rush,136
2548,dick,136
2549,wilson,136
2550,hiv,136
2551,tomorrow,135
2552,famous,135
2553,holds,135
2554,duty,135
2555,suddenly,135
2556,minds,135
2557,owned,135
2558,measures,135
2559,negative,135
2560,justification,135
2561,charges,135
2562,dropped,135
2563,joke,135
2564,smoke,135
2565,weird,135
2566,favorite,135
2567,jackson,135
2568,territory,134
2569,civilian,134
2570,glory,134
2571,terrorists,134
2572,bar,134
2573,era,134
2574,finish,134
2575,81,134
2576,finger,134
2577,artificial,134
2578,bureau,134
2579,super,134
2580,95,134
2581,laboratories,134
2582,task,134
2583,falls,134
2584,traded,134
2585,241-9760,134
2586,string,134
2587,wonderful,134
2588,brett,134
2589,ab,134
2590,binary,134
2591,cobb,134
2592,neighbor,133
2593,factors,133
2594,crap,133
2595,promise,133
2596,minimum,133
2597,sorts,133
2598,sport,133
2599,silver,133
2600,prayer,133
2601,controls,133
2602,malcolm,133
2603,band,133
2604,nra,133
2605,plays,133
2606,ra,133
2607,occupation,132
2608,commit,132
2609,attacked,132
2610,flow,132
2611,deserve,132
2612,dream,132
2613,finished,132
2614,bases,132
2615,trip,132
2616,tickets,132
2617,ut,132
2618,observation,132
2619,blow,132
2620,sector,132
2621,richardson,132
2622,ga,132
2623,bobby,132
2624,batting,132
2625,drag,131
2626,x-soviet,131
2627,chronic,131
2628,continues,131
2629,involve,131
2630,attached,131
2631,incorrect,131
2632,virtually,131
2633,fool,131
2634,located,131
2635,passing,131
2636,exception,131
2637,limits,131
2638,listening,131
2639,sequence,131
2640,quit,131
2641,acid,131
2642,technique,131
2643,screw,131
2644,detectors,131
2645,fpu,131
2646,compressed,131
2647,koresh's,131
2648,todd,130
2649,humanity,130
2650,hide,130
2651,4th,130
2652,democratic,130
2653,discussing,130
2654,tuesday,130
2655,ridiculous,130
2656,penalties,130
2657,continuing,130
2658,campus,130
2659,legally,130
2660,cash,130
2661,carolina,130
2662,vehicles,130
2663,sean,130
2664,brent,130
2665,telescope,130
2666,marketing,130
2667,hypothesis,130
2668,24-bit,130
2669,allan,130
2670,ignorant,129
2671,minister,129
2672,pair,129
2673,hoping,129
2674,apparent,129
2675,wisconsin,129
2676,newspaper,129
2677,witnesses,129
2678,crash,129
2679,extreme,129
2680,married,129
2681,tree,129
2682,weekend,129
2683,entries,129
2684,5.0,129
2685,sandvik,129
2686,halat,129
2687,phillies,129
2688,suit,128
2689,pure,128
2690,nonsense,128
2691,describes,128
2692,practices,128
2693,temple,128
2694,guarantee,128
2695,concerns,128
2696,suffer,128
2697,concrete,128
2698,pattern,128
2699,cat,128
2700,macs,128
2701,firearm,128
2702,democracy,127
2703,hebrew,127
2704,ar,127
2705,pieces,127
2706,carter,127
2707,girls,127
2708,quiet,127
2709,smart,127
2710,powers,127
2711,nelson,127
2712,76,127
2713,odd,127
2714,penguins,127
2715,dont,127
2716,reverse,127
2717,pennsylvania,127
2718,thursday,127
2719,hopkins,127
2720,2.1,127
2721,tube,127
2722,timothy,127
2723,atoms,127
2724,b.c,126
2725,establish,126
2726,permanent,126
2727,pete,126
2728,awful,126
2729,1986,126
2730,alexander,126
2731,82,126
2732,lady,126
2733,warranty,126
2734,tommy,126
2735,identify,125
2736,baku,125
2737,cares,125
2738,violation,125
2739,informed,125
2740,brake,125
2741,today's,125
2742,87,125
2743,severe,125
2744,causing,125
2745,appearance,125
2746,arizona,125
2747,idle,125
2748,vertical,125
2749,adobe,125
2750,diseases,125
2751,nyi,125
2752,oregon,124
2753,identical,124
2754,brothers,124
2755,repeated,124
2756,houses,124
2757,ship,124
2758,cells,124
2759,compuserve,124
2760,laugh,124
2761,stratus,124
2762,expires,124
2763,pl6,124
2764,silicon,124
2765,min,124
2766,gospel,124
2767,cobb@alexia.lis.uiuc.edu,124
2768,ohanus,123
2769,regional,123
2770,breaking,123
2771,header,123
2772,blind,123
2773,hotel,123
2774,monday,123
2775,recognized,123
2776,electric,123
2777,temporary,123
2778,converted,123
2779,remaining,123
2780,selection,123
2781,sake,123
2782,bullets,123
2783,horizon,123
2784,speakers,123
2785,broadcast,123
2786,suite,123
2787,county,123
2788,bat,123
2789,mag,123
2790,mario,123
2791,zoology,123
2792,x11r4,123
2793,precisely,122
2794,strike,122
2795,injuries,122
2796,68,122
2797,experimental,122
2798,square,122
2799,howard,122
2800,suggests,122
2801,hidden,122
2802,strategy,122
2803,programmer,122
2804,essential,122
2805,converting,122
2806,norway,122
2807,trick,122
2808,subscribe,122
2809,alcohol,122
2810,nubus,122
2811,modems,122
2812,goalie,122
2813,comics,122
2814,suffered,121
2815,revealed,121
2816,appressian,121
2817,120,121
2818,initiative,121
2819,travel,121
2820,guaranteed,121
2821,viewing,121
2822,sells,121
2823,losing,121
2824,portion,121
2825,workstations,121
2826,63,121
2827,film,121
2828,pins,121
2829,fallacy,121
2830,syndrome,121
2831,competition,120
2832,hatred,120
2833,planes,120
2834,doors,120
2835,fell,120
2836,letting,120
2837,labor,120
2838,amounts,120
2839,ministry,120
2840,filled,120
2841,quantum,120
2842,taste,120
2843,rare,120
2844,captain,120
2845,pulled,120
2846,behaviour,120
2847,abc,120
2848,signals,120
2849,animal,120
2850,printers,120
2851,demo,120
2852,bitmap,120
2853,planets,120
2854,theism,120
2855,satellites,120
2856,entered,119
2857,assistance,119
2858,pushed,119
2859,construction,119
2860,tied,119
2861,reject,119
2862,forum,119
2863,complicated,119
2864,refuse,119
2865,issued,119
2866,observer,119
2867,registered,119
2868,centers,119
2869,discrimination,119
2870,conservative,119
2871,tapped,119
2872,ms-dos,119
2873,access.digex.net,119
2874,mets,119
2875,cipher,119
2876,friendly,118
2877,tired,118
2878,borders,118
2879,bound,118
2880,workers,118
2881,leadership,118
2882,attempting,118
2883,revolution,118
2884,implemented,118
2885,implement,118
2886,massive,118
2887,jan,118
2888,67,118
2889,ban,118
2890,justified,118
2891,expert,118
2892,closely,118
2893,legislation,118
2894,definitions,118
2895,mental,118
2896,jay,118
2897,depth,118
2898,topics,118
2899,blah,118
2900,sabbath,118
2901,toyota,118
2902,photography,118
2903,stan,118
2904,ahl,118
2905,govt,117
2906,evening,117
2907,watched,117
2908,television,117
2909,mistakes,117
2910,drawn,117
2911,78,117
2912,firm,117
2913,combination,117
2914,representatives,117
2915,leaves,117
2916,properties,117
2917,beach,117
2918,rely,117
2919,mechanical,117
2920,routine,117
2921,dry,117
2922,weather,117
2923,williams,117
2924,ye,117
2925,derek,117
2926,wright,117
2927,objectively,117
2928,bmp,117
2929,covenant,116
2930,depend,116
2931,opposition,116
2932,karabakh,116
2933,arguing,116
2934,conduct,116
2935,sept,116
2936,freely,116
2937,ve,116
2938,circle,116
2939,witness,116
2940,complaints,116
2941,capabilities,116
2942,phase,116
2943,vms,116
2944,forsale,116
2945,0600,116
2946,duo,116
2947,eff,116
2948,genesis,116
2949,sabres,116
2950,buf,116
2951,crack,115
2952,feelings,115
2953,netters,115
2954,spoke,115
2955,u.s.a,115
2956,feels,115
2957,spare,115
2958,josh,115
2959,beta,115
2960,filter,115
2961,milwaukee,115
2962,8-bit,115
2963,quicktime,115
2964,6.0,115
2965,compile,115
2966,1.00,115
2967,rawlins,115
2968,handgun,115
2969,cramer@optilink.com,115
2970,xfree86,115
2971,zionist,114
2972,sahak,114
2973,melkonian,114
2974,families,114
2975,inhabitants,114
2976,survive,114
2977,implies,114
2978,gulf,114
2979,mathematical,114
2980,warren,114
2981,mexico,114
2982,receiver,114
2983,intend,114
2984,hmmm,114
2985,incorporated,114
2986,ave,114
2987,dma,114
2988,teachings,114
2989,elected,113
2990,soc.culture.turkish,113
2991,territories,113
2992,guard,113
2993,operator,113
2994,preferred,113
2995,reads,113
2996,scan,113
2997,investment,113
2998,snow,113
2999,purely,113
3000,threw,113
3001,advertising,113
3002,harder,113
3003,evans,113
3004,pitchers,113
3005,ozone,113
3006,salvation,113
3007,3.00,113
3008,manipulation,113
3009,murdered,112
3010,signs,112
3011,mamma,112
3012,husband,112
3013,heck,112
3014,girl,112
3015,classes,112
3016,improvement,112
3017,regularly,112
3018,unique,112
3019,73,112
3020,combined,112
3021,x-disclaimer,112
3022,victoria,112
3023,parent,112
3024,stable,112
3025,repair,112
3026,bonds,112
3027,manufacturer,112
3028,vary,112
3029,scheduled,112
3030,tektronix,112
3031,hudson,112
3032,gregg,112
3033,oracle,112
3034,log,112
3035,proved,111
3036,promised,111
3037,supporters,111
3038,native,111
3039,grow,111
3040,occurred,111
3041,optional,111
3042,highway,111
3043,chinese,111
3044,rev,111
3045,typically,111
3046,comprehensive,111
3047,surgery,111
3048,mustang,111
3049,dallas,111
3050,gene,111
3051,listing,111
3052,edmonton,111
3053,415,111
3054,tower,111
3055,creationism,111
3056,orbital,111
3057,hulk,111
3058,attacking,110
3059,naval,110
3060,62,110
3061,mutual,110
3062,influence,110
3063,freeman,110
3064,ira,110
3065,benefits,110
3066,paranoid,110
3067,sp,110
3068,bright,110
3069,reader,110
3070,prison,110
3071,yassin,110
3072,84,110
3073,confusion,110
3074,growth,110
3075,sections,110
3076,rendering,110
3077,concepts,110
3078,horizontal,110
3079,visualization,110
3080,infinite,110
3081,disciples,110
3082,colormap,110
3083,nose,109
3084,removing,109
3085,worried,109
3086,writer,109
3087,1.5,109
3088,rarely,109
3089,election,109
3090,agenda,109
3091,else's,109
3092,october,109
3093,royal,109
3094,arrest,109
3095,beer,109
3096,steps,109
3097,manage,109
3098,raw,109
3099,roughly,109
3100,passages,109
3101,hughes,109
3102,hawks,109
3103,avenue,109
3104,hacker,109
3105,exploration,109
3106,pop,109
3107,unusual,109
3108,magic,109
3109,patches,109
3110,baptism,109
3111,jupiter,109
3112,comet,109
3113,launched,108
3114,slaughter,108
3115,beautiful,108
3116,throwing,108
3117,beating,108
3118,serves,108
3119,receiving,108
3120,valuable,108
3121,participate,108
3122,honor,108
3123,clue,108
3124,restrictions,108
3125,hmm,108
3126,maynard,108
3127,feb,108
3128,pack,108
3129,wires,108
3130,workstation,108
3131,kid,108
3132,rogers,108
3133,bryan,108
3134,pixels,108
3135,mathew@mantis.co.uk,108
3136,20.00,108
3137,upper,107
3138,russians,107
3139,strength,107
3140,azeris,107
3141,realized,107
3142,predict,107
3143,experienced,107
3144,ordinary,107
3145,compiled,107
3146,dying,107
3147,fits,107
3148,enemy,107
3149,explicitly,107
3150,bullet,107
3151,130,107
3152,introduced,107
3153,sb,107
3154,busy,107
3155,naturally,107
3156,plate,107
3157,oklahoma,107
3158,mount,107
3159,shaft,107
3160,talent,107
3161,availability,107
3162,timing,107
3163,po,107
3164,component,107
3165,610,107
3166,norton,107
3167,schneider,107
3168,stl,107
3169,handguns,107
3170,covington,107
3171,directed,106
3172,nyc,106
3173,mitchell,106
3174,january,106
3175,deals,106
3176,route,106
3177,appeal,106
3178,testimony,106
3179,announcing,106
3180,arbitrary,106
3181,libertarians,106
3182,ross,106
3183,alleged,106
3184,edit,106
3185,updated,106
3186,meaningless,106
3187,efficient,106
3188,anonymity,106
3189,norman,106
3190,div,106
3191,andre,106
3192,powerbook,106
3193,simm,106
3194,holland,106
3195,river,105
3196,loose,105
3197,independence,105
3198,expression,105
3199,secular,105
3200,comparable,105
3201,mi,105
3202,77,105
3203,1980,105
3204,element,105
3205,horrible,105
3206,charged,105
3207,industrial,105
3208,fiction,105
3209,79,105
3210,arrogance,105
3211,detect,105
3212,bandwidth,105
3213,balls,105
3214,stewart,105
3215,choices,105
3216,switzerland,105
3217,sparc,105
3218,produces,105
3219,irq,105
3220,char,105
3221,parameters,105
3222,adaptec,105
3223,lemieux,105
3224,improved,104
3225,achieve,104
3226,sumgait,104
3227,affairs,104
3228,le,104
3229,danny,104
3230,stood,104
3231,infrastructure,104
3232,700,104
3233,83,104
3234,05,104
3235,constitutional,104
3236,involves,104
3237,vast,104
3238,stupidity,104
3239,complain,104
3240,kidney,104
3241,pacific,104
3242,voting,104
3243,linked,104
3244,vendors,104
3245,ideal,104
3246,increases,104
3247,facilities,104
3248,bag,104
3249,injury,104
3250,rice,104
3251,alot,104
3252,iisi,104
3253,tb,104
3254,scriptures,104
3255,bd,104
3256,dividian,104
3257,xdm,104
3258,prince,103
3259,news@anatolia.org,103
3260,codes,103
3261,plant,103
3262,arrived,103
3263,entitled,103
3264,valley,103
3265,consent,103
3266,conversations,103
3267,bradley,103
3268,absurd,103
3269,suck,103
3270,mar,103
3271,hess,103
3272,requested,103
3273,operate,103
3274,gee,103
3275,delivery,103
3276,commonly,103
3277,publicly,103
3278,correction,103
3279,stronger,103
3280,analog,103
3281,tire,103
3282,variable,103
3283,gl,103
3284,radiation,103
3285,ama,103
3286,cornell,103
3287,infections,103
3288,benedikt,103
3289,tobacco,103
3290,tavares,103
3291,foods,103
3292,wolverine,103
3293,denied,102
3294,derived,102
3295,gang,102
3296,henrik,102
3297,3000,102
3298,theodore,102
3299,wednesday,102
3300,assert,102
3301,biased,102
3302,ankara,102
3303,conclude,102
3304,dust,102
3305,environmental,102
3306,executive,102
3307,aircraft,102
3308,man's,102
3309,seeking,102
3310,category,102
3311,contest,102
3312,corporate,102
3313,06,102
3314,partners,102
3315,atomic,102
3316,94,102
3317,dollar,102
3318,easter,102
3319,suitable,102
3320,probes,102
3321,lane,102
3322,winner,102
3323,terry,102
3324,hook,102
3325,virus,102
3326,texts,102
3327,strnlght@netcom.com,102
3328,jake,101
3329,invasion,101
3330,rocks,101
3331,november,101
3332,eh,101
3333,junk,101
3334,female,101
3335,victim,101
3336,1985,101
3337,sir,101
3338,incredibly,101
3339,ian,101
3340,trials,101
3341,golden,101
3342,contained,101
3343,analogy,101
3344,nuntius,101
3345,einstein,101
3346,switches,101
3347,mercury,101
3348,procedures,101
3349,antenna,101
3350,650,101
3351,loving,101
3352,risc,101
3353,gui,101
3354,r5,101
3355,strictly,100
3356,dispute,100
3357,communities,100
3358,rejected,100
3359,expose,100
3360,jefferson,100
3361,ct,100
3362,substance,100
3363,interpret,100
3364,photo,100
3365,walking,100
3366,alternatives,100
3367,arrogant,100
3368,priest,100
3369,submit,100
3370,x-useragent,100
3371,prophet,100
3372,ascii,100
3373,irrational,100
3374,erik,100
3375,beast,100
3376,capacity,100
3377,built-in,100
3378,hal,100
3379,export.lcs.mit.edu,100
3380,cite,99
3381,species,99
3382,height,99
3383,distinction,99
3384,cyprus,99
3385,boys,99
3386,responding,99
3387,69,99
3388,minorities,99
3389,whatsoever,99
3390,accepting,99
3391,conventional,99
3392,cook,99
3393,biology,99
3394,psychology,99
3395,sessions,99
3396,healthy,99
3397,identified,99
3398,ia,99
3399,iv,99
3400,displayed,99
3401,collins,99
3402,upset,99
3403,seats,99
3404,ratio,99
3405,v6,99
3406,consensus,99
3407,arbor,99
3408,deskjet,99
3409,hamilton,99
3410,cdt@sw.stratus.com,99
3411,s1,99
3412,key-escrow,99
3413,aspect,98
3414,kurds,98
3415,premise,98
3416,ya,98
3417,identity,98
3418,samuel,98
3419,relief,98
3420,writings,98
3421,cooperation,98
3422,firing,98
3423,silence,98
3424,income,98
3425,bombing,98
3426,subjects,98
3427,regulations,98
3428,buildings,98
3429,forcing,98
3430,dozen,98
3431,burst,98
3432,speaker,98
3433,ss,98
3434,observe,98
